term_code,CLASS_NBR,instructor_id_number
3,06115,2473
3,06116,1886
3,06117,1412
3,06118,2669
3,06119,2986
3,06121,2667
3,06124,2209
3,06125,3211
3,06126,3206
3,06129,2775
3,06130,2776
3,06132,3209
3,06135,594
3,06251,337
3,06262,2773
3,06265,3209
3,06267,2773
3,06268,1860
3,06504,2680
3,06505,3415
3,06506,1354
3,06507,2995
3,06508,828
3,06509,1245
3,06510,2562
3,06511,1246
3,06512,3416
3,06513,3118
3,06514,2563
3,06515,1700
3,06516,2111
3,06517,1355
3,06518,2112
3,06519,752
3,06612,2567
3,06613,2674
3,06616,1359
3,09887,3033
3,09888,2498
3,09889,2588
3,09890,396
3,12136,1884
3,12137,1029
3,12144,2680
3,14508,548
3,14546,2680
3,14635,548
3,14636,548
3,14637,548
3,14670,2680
3,14893,548
3,14948,2680
3,15097,548
3,15293,548
3,15633,548
3,15656,548
3,15657,548
4,04974,486
4,04975,486
4,04976,2199
4,04977,2199
4,04978,486
4,04979,486
4,04980,486
4,04981,486
4,05091,2199
4,05092,2199
4,05125,2199
4,05126,2199
4,05143,2199
4,05144,2199
4,05899,121
4,05900,395
4,05901,3439
4,05902,118
4,05903,339
4,05906,2774
4,05907,2107
4,05908,3035
4,05909,2108
4,05910,118
4,05911,339
4,05913,2666
4,05915,592
4,05916,2107
4,05917,552
4,05918,3202
4,05922,3202
4,05923,2771
4,05925,3035
4,05929,589
4,05930,1686
4,05931,2950
4,05932,2772
4,05933,2108
4,05934,3034
4,05935,596
4,05936,3208
4,05937,2319
4,05938,2130
4,05939,2473
4,05940,1720
4,05941,3205
4,05943,2667
4,05944,2130
4,05945,3034
4,05946,3208
4,05947,594
4,05948,1685
4,05949,3203
4,05950,3209
4,05951,3206
4,05952,1860
4,05953,1886
4,05954,532
4,06057,2950
4,06267,2680
4,06268,3415
4,06269,2498
4,06271,1355
4,06272,2995
4,06273,2218
4,06274,2588
4,06276,1700
4,10902,2562
4,10914,3416
4,10915,2112
4,10918,939
4,11038,2986
4,11039,180
4,11040,1412
4,11041,2771
4,11043,3205
4,11045,2773
4,11046,1684
4,11047,1216
4,11049,1266
4,11051,2950
4,11052,1452
4,11053,3202
4,12356,2680
4,12878,1884
4,12879,1033
4,13387,548
4,13388,548
4,13530,2680
4,13531,2680
4,14728,1216
4,14776,2680
4,14779,2680
4,14959,3205
4,15171,2680
4,15265,548
4,15266,548
4,15267,548
4,15268,548
4,15282,2680
4,15283,2680
4,15284,2680
4,15415,2680
5,06615,486
5,06616,3234
5,06617,486
5,06618,2199
5,06619,2199
5,06620,2199
5,06621,2199
5,06622,486
5,06623,3234
5,06624,486
5,06715,486
5,06716,3234
5,06717,486
5,06718,2199
5,06719,2199
5,06720,2199
5,06721,2199
5,06722,2199
5,06723,2199
5,06724,2199
5,06725,2199
5,07511,2774
5,07512,3075
5,07513,453
5,07514,2130
5,07515,2108
5,07516,1453
5,07517,2165
5,07518,3079
5,07519,3199
5,07520,3034
5,07521,593
5,07522,2130
5,07523,395
5,07524,112
5,07525,1720
5,07526,1685
5,07528,455
5,07529,456
5,07530,1216
5,07531,2986
5,07532,2317
5,07533,3246
5,07536,1686
5,07537,3199
5,07538,2950
5,07539,2774
5,07540,2667
5,07541,596
5,07542,181
5,07543,1266
5,07544,2772
5,07545,3481
5,07546,1686
5,07547,3202
5,07548,1311
5,07549,2667
5,07552,1684
5,07553,121
5,07554,1266
5,07558,3203
5,07559,459
5,07560,337
5,07566,3209
5,07667,2957
5,07873,2680
5,07875,3497
5,07876,469
5,07877,1763
5,07878,442
5,07879,883
5,07880,2627
5,07881,939
5,07882,2157
5,07883,884
5,07884,443
5,07886,2628
5,07887,885
5,07888,3065
5,07974,886
5,07975,444
5,07985,1298
5,07987,445
5,10532,3488
5,10534,2986
5,10535,3489
5,10536,3202
5,10537,2317
5,10538,552
5,10539,1720
5,10540,2107
5,10541,2950
5,10542,2107
5,10544,25
