student_id_number,term_code,CLASS_NBR,COMPLETED_FLAG,official_grade,ACAD_PLAN,HOURS_CARRIED
82240,2,08299,1,A,BS7253,12.0
46069,3,06103,1,D+,ND1208,16.0
46071,2,08293,1,B-,ND9956,11.0
46084,1,05241,1,A,BS3314,20.0
46084,1,05406,0,DROP,BS3314,20.0
46088,1,09784,0,FS,BS6361,17.0
46097,2,05072,1,C,BS5327,14.0
46097,2,05074,0,DROP,BS5327,14.0
46308,3,06071,1,A,ND5368,15.0
46316,3,06514,0,WF,BB6127,20.0
46344,4,05125,0,DROP,BS2127,15.0
46344,4,04974,1,B,BS2127,15.0
46348,6,04813,0,DROP,BS7257,14.5
46348,6,04646,1,B+,BS7257,14.5
46538,1,06133,1,B,BS0411,14.0
46552,2,05068,1,A,BS8171,15.0
46552,2,05185,0,DROP,BS8171,15.0
46554,1,05246,0,DROP,BS1904,15.0
46554,1,05241,1,A,BS1904,15.0
46568,1,12081,1,A,BS1203,9.0
46579,4,05900,1,A,BS6316,16.0
46587,1,08409,1,C,BS6361,16.0
46593,4,10915,1,D,BC5329,17.0
46593,6,05943,0,WF,BC5329,15.0
46593,3,06071,1,A,BC5329,16.0
46774,2,08295,0,WP,ND6603,16.0
46777,1,05246,0,DROP,ND0210,19.0
46777,1,05241,1,C,ND0210,19.0
46782,2,05068,1,A,BA2128,19.0
46782,2,05222,0,DROP,BA2128,19.0
46782,1,08834,1,A-,BA4101,18.0
46793,1,05242,1,A,BS1904,17.0
46793,1,05345,0,DROP,BS1904,17.0
46801,1,06123,1,A-,ND6603,17.0
46804,1,06120,1,B,BS7257,18.5
46811,2,06433,1,A-,BS7269,12.0
46817,2,08299,0,WP,ND1201,16.0
46821,5,07887,1,B-,BS5327,16.0
46821,1,06133,1,B+,ND1201,15.0
47033,4,04975,0,F,BS7252,14.0
47033,4,05091,0,DROP,BS7252,14.0
47041,3,06251,1,A,BS5327,16.0
47234,6,04652,0,DROP,BS6470,14.0
47234,5,06615,1,D-,BS6470,17.0
47234,6,09460,1,S,BS6470,14.0
47234,5,06619,0,DROP,BS6470,17.0
47235,1,08402,0,WP,ND1206,16.0
47245,3,06104,1,B,ND1220,17.0
47246,4,10918,0,WP,BS2120,16.0
47246,3,06508,0,WN,ND1105,16.0
47252,3,06262,1,A-,BS8167,13.0
47264,1,13556,1,C,ND0410,16.0
47467,1,08414,1,B-,BS6232,18.0
47487,1,05241,1,C-,BS7252,13.0
47487,1,05247,0,DROP,BS7252,13.0
47493,1,06123,1,A-,ND0210,15.0
47499,3,12136,1,C,BC5374,6.0
47513,3,06119,1,B,ND0210,13.0
47701,1,06122,1,C,BA5050,17.0
68101,6,05523,1,A-,BS7252,17.0
47716,2,05222,0,DROP,BS7263,16.5
47716,2,05068,1,C,BS7263,16.5
47720,2,06452,1,A,ND5368,19.0
68102,6,04646,1,S,BS7260,15.0
68102,6,04813,0,DROP,BS7260,15.0
47732,2,05067,1,A-,BS0411,18.0
47732,2,05221,0,DROP,BS0411,18.0
47732,2,06482,1,A,BS0411,18.0
47737,3,06505,1,B+,BS6316,16.0
47737,2,06434,1,A,BS6316,15.0
47738,3,05060,1,D,BS7257,14.0
47738,3,05065,0,DROP,BS7257,14.0
47739,3,05060,1,D,BS7257,14.0
47739,3,05065,0,DROP,BS7257,14.0
47744,4,05125,0,DROP,BS2127,15.0
47744,4,04974,1,B+,BS2127,15.0
47748,3,06095,1,A,ND0210,17.0
68103,6,04651,0,DROP,BS2121,16.0
68103,6,04649,0,NC,BS2121,16.0
68103,5,06615,1,D,BS2121,15.0
68103,2,08299,1,B-,ND9956,4.0
68103,5,06619,0,DROP,BS2121,15.0
47752,1,05390,0,DROP,BS7257,15.0
47752,1,05389,1,A-,BS7257,15.0
47941,1,06139,1,A,ND9956,3.0
47970,1,06131,1,A-,ND8835,16.0
47970,2,08302,1,B-,ND8835,16.0
47973,2,08287,1,C+,ND9956,7.0
47974,6,05805,1,A-,BC5373,13.0
48156,3,05060,1,B,BS2127,15.0
48156,3,05065,0,DROP,BS2127,15.0
48159,2,06455,1,A,BS2522,16.0
48163,5,07882,1,D,BA4251,14.0
48163,6,05807,1,B-,ND6603,16.0
48163,1,06174,1,C-,ND1201,15.0
48178,1,06125,1,A,ND1201,15.0
48178,2,08300,1,C,ND1201,14.5
48179,2,05221,0,DROP,BS7260,14.5
48179,1,06181,1,A,BS7260,16.0
48179,2,05067,1,B+,BS7260,14.5
48184,1,05241,1,B,BS0411,15.0
48184,1,05246,0,DROP,BS0411,15.0
48187,1,08402,1,B,BA5232,19.0
48188,6,04813,0,DROP,BS2127,16.0
48188,6,04646,1,A,BS2127,16.0
48190,2,06440,0,F,BS7257,17.0
48190,3,06267,0,FS,BS7257,19.0
48190,1,05391,0,DROP,ND0910,15.5
48190,1,05389,1,A,ND0910,15.5
48191,2,06440,0,F,BS7257,17.0
48191,3,06267,0,FS,BS7257,19.0
48191,1,05391,0,DROP,ND0910,15.5
48191,1,05389,1,A,ND0910,15.5
48390,2,06443,1,B-,ND0210,16.0
48390,2,08294,0,WP,ND0210,16.0
48396,3,05170,0,DROP,BS3312,17.0
48396,3,05062,1,A,BS3312,17.0
48401,6,09611,1,S,ND1201,16.0
68112,6,05810,1,A-,ND6603,16.0
48422,3,05061,1,A-,ND0910,15.0
48422,3,05163,0,DROP,ND0910,15.0
48428,3,05062,1,A,BS2127,16.0
48428,3,05168,0,DROP,BS2127,16.0
48440,1,06189,1,A,ND1201,15.0
48619,1,09781,1,B-,BS6176,17.0
48621,3,05060,1,B,BS7257,17.0
48621,3,05066,0,DROP,BS7257,17.0
48623,2,05068,1,B+,BS7253,19.0
48623,2,05222,0,DROP,BS7253,19.0
48622,2,05068,1,B+,BS7253,19.0
48622,2,05222,0,DROP,BS7253,19.0
48647,6,04649,1,B-,BS2121,16.0
48647,6,04651,0,DROP,BS2121,16.0
48647,5,06616,1,D-,BS2121,17.0
48647,3,06510,1,A-,BS2121,15.0
48647,5,06721,0,DROP,BS2121,17.0
44895,1,05394,0,DROP,BS7257,16.0
44895,1,05392,1,A,BS7257,16.0
44913,2,06447,1,B,BS7252,15.0
44921,4,04974,1,D-,BS2126,17.0
44921,3,05163,0,DROP,BS2126,15.0
44921,4,05125,0,DROP,BS2126,17.0
44921,3,05061,1,D-,BS2126,15.0
44921,3,06515,1,C+,BS2126,15.0
82162,2,05185,0,DROP,ND1105,15.0
82162,2,05068,1,C,ND1105,15.0
45190,1,05242,1,A,BS3311,17.0
45190,1,05345,0,DROP,BS3311,17.0
45691,1,08409,0,WP,ND1206,16.0
45953,1,11991,1,B+,AS1104,6.0
46176,1,06190,1,B-,BA4253,16.0
46182,4,15283,0,DROP,AA1110,4.0
90677,1,09783,1,B-,ND1201,15.0
90677,1,06165,1,B,ND1201,15.0
46233,2,05067,1,A,BS2127,15.0
46233,2,05070,0,DROP,BS2127,15.0
46420,5,07549,0,F,BS7257,16.0
46429,1,11991,1,A,AA5006,6.0
46443,3,12136,1,D,BT5510,3.0
46443,2,11755,0,WF,BT5510,6.0
68116,5,06717,0,DROP,BS2121,16.0
68116,5,06624,1,C+,BS2121,16.0
68116,2,05184,0,DROP,ND9956,11.0
68116,2,05068,1,C,ND9956,11.0
46472,1,08408,1,B,ND1105,16.0
46477,3,06081,1,C+,BA4214,15.0
46655,1,08403,0,WP,ND1201,17.0
46677,5,06619,0,DROP,BB6121,15.0
46677,5,06615,0,WP,BB6121,15.0
46677,6,04645,0,FS,BB6121,15.0
46677,6,04647,0,DROP,BB6121,15.0
46692,4,12879,1,A-,ND1205,6.0
46890,2,11755,1,A,BS1203,9.0
46903,1,06120,1,A,ND8839,17.0
47110,1,08404,1,C,BA2128,16.0
47357,2,11754,1,A,BS1203,12.0
47393,5,06717,0,DROP,BS3313,10.0
47393,5,06624,1,C,BS3313,10.0
47604,1,08404,1,B-,ND1206,19.0
47605,1,12081,0,FS,BS1203,15.0
47613,2,06458,1,A,ND5368,12.0
47616,2,11754,1,A,BS1203,10.0
47628,2,11754,1,A,BS1203,6.0
47633,2,06457,1,C-,BJ6906,15.0
82486,2,06500,1,B+,ND0210,16.0
47814,6,05509,1,A,BJ6906,16.0
47827,3,05063,0,DROP,BS2522,16.0
47827,3,05060,1,C-,BS2522,16.0
47832,5,10532,1,A-,BJ6906,18.0
47835,2,05240,0,DROP,ND1105,15.0
47835,2,05067,1,D-,ND1105,15.0
82421,1,05246,0,DROP,BS2127,17.0
82421,1,05241,1,A,BS2127,17.0
47859,4,05950,1,A,BC5373,15.0
47865,2,06432,1,A,BJ6907,15.0
48050,1,06159,1,A,BJ6906,16.0
48082,2,06438,1,C,ND1201,17.0
48304,2,06488,1,A,BJ6906,15.0
48316,2,06435,1,A-,BS3310,15.0
48549,4,05144,0,DROP,BS2522,15.0
48549,4,04975,1,B-,BS2522,15.0
45653,1,12082,1,B+,ND1205,7.0
45668,1,09786,1,B+,ND1201,15.0
45668,1,06180,1,B,ND1201,15.0
45671,3,12137,1,B+,ND1205,3.0
45679,2,06476,1,B,BS6468,17.0
45680,2,06482,1,A,BS2127,15.0
45875,1,06158,1,A-,ND0210,17.0
45876,2,06471,1,B+,BS2127,15.0
45877,2,06482,1,A,BS6317,16.0
45878,1,06181,1,A-,BS2127,15.0
45915,2,05069,0,DROP,BS4238,19.0
45915,2,05067,1,B,BS4238,19.0
45915,2,06492,1,A,BS4238,19.0
45916,2,09445,1,A,BA5225,18.0
45922,2,06483,1,A-,BB6127,15.0
45923,1,08412,1,B-,ND5368,17.0
45925,2,08299,1,A,BS8119,16.0
45925,1,06183,1,B+,ND1201,15.0
46107,1,06152,1,B+,ND1201,15.0
46107,1,08405,1,C,ND1201,15.0
46109,1,08833,1,A,BS7257,15.0
46109,2,05067,1,A-,BS7257,16.5
46109,2,05221,0,DROP,BS7257,16.5
46110,2,06431,1,A,ND6603,17.0
46110,2,08294,1,B,ND6603,17.0
46123,1,08830,1,B,BA4101,15.0
82729,1,06185,1,A,BS1112,10.0
46156,4,04974,1,C,BS8100,20.0
46156,4,05143,0,DROP,BS8100,20.0
46156,2,08295,1,B,ND0407,16.0
46159,1,06182,1,B-,ND1206,15.0
46161,1,06139,1,B-,ND1206,15.0
46161,3,06517,0,F,ND1206,13.0
46161,4,10914,1,C,ND1206,15.0
